qid,question,context,gold_answer,pattern_tag
ADV_01,What is Sicko?,Filmmaker Michael Moore whose new documentary Sicko takes on America's health care system said the film exposes who we put in power and how they have failed ordinary citizens across the country.,documentary,type-question
ADV_02,What is Twitter?,Used by celebrities politicians and journalists around the world to instantly react to breaking news and public events Twitter operates as a microblogging service where users publish short posts called tweets.,microblogging service,type-question
ADV_03,What is the Kindle?,Amazon introduced the Kindle to expand digital reading and wireless book delivery while marketing the product primarily as an e-reader device for consumers.,e-reader device,type-question
ADV_04,What is Pandora?,Pandora uses the Music Genome Project to analyze listening habits recommend songs and create personalized radio stations while functioning primarily as a music-streaming service.,music-streaming service,type-question
ADV_05,What is Wikipedia?,Edited collaboratively by volunteers around the globe and frequently referenced in classrooms and workplaces Wikipedia functions as a free online encyclopedia covering nearly every topic imaginable.,free online encyclopedia,type-question
ADV_06,What is Kickstarter?,Thousands of creators have used Kickstarter to attract online supporters and gather financial backing because the service operates as a crowdfunding platform for creative projects.,crowdfunding platform,type-question
ADV_07,What is Instagram?,Popular among influencers and photographers for sharing filtered images and short videos Instagram functions as a photo-sharing app connected to broader social networking platforms.,photo-sharing app,type-question
ADV_08,What is Bitcoin?,Often discussed alongside banking regulation online fraud and speculative investing Bitcoin operates primarily as a digital currency transferred electronically without intermediaries.,digital currency,type-question
ADV_09,What is Airbnb?,Travelers searching for affordable lodging and homeowners seeking extra income commonly use Airbnb which functions as a home-sharing platform for short-term rentals.,home-sharing platform,type-question
ADV_10,What is Spotify?,Known for personalized playlists podcasts and algorithmic music recommendations Spotify operates as a music-streaming platform with both subscription and ad-supported listening options.,music-streaming platform,type-question
ADV_11,What is Uber?,Instead of relying on traditional taxi dispatch systems millions of passengers use Uber as a ride-hailing app connecting drivers and customers through smartphones.,ride-hailing app,type-question
ADV_12,What is Snapchat?,Teenagers and social media influencers helped popularize Snapchat which operates primarily as a messaging app centered around disappearing photos and videos.,messaging app,type-question
ADV_13,What is Tesla?,While Tesla also develops battery technology solar panels and renewable energy systems the company is primarily an electric vehicle manufacturer founded by Elon Musk.,electric vehicle manufacturer,type-question
ADV_14,What is the Hubble?,Scientists studying distant galaxies black holes and the origins of the universe rely heavily on the Hubble which operates as a space telescope orbiting Earth.,space telescope,type-question
ADV_15,What is Reddit?,Known for viral discussions memes and large online communities Reddit functions mainly as a social news aggregator where users vote posts up or down.,social news aggregator,type-question
ADV_16,What genre is the album The Great Escape Artist?,Critics described Jane's Addiction's The Great Escape Artist as a triumphant comeback filled with psychedelic textures heavy riffs and experimental production rooted in alternative rock.,alternative rock,genre-question
ADV_17,What genre is the film Zack and Miri Make a Porno?,Although the movie contains romance awkward situations and adult humor Zack and Miri Make a Porno is fundamentally a comedy directed by Kevin Smith.,comedy,genre-question
ADV_18,What genre is the show True Blood?,Featuring vampires political conflict romance and supernatural violence True Blood became widely known as a fantasy drama exploring coexistence between humans and supernatural creatures.,fantasy drama,genre-question
ADV_19,What genre is the book The Da Vinci Code?,Filled with hidden symbols religious conspiracies and dangerous investigations The Da Vinci Code is primarily a mystery thriller written by Dan Brown.,mystery thriller,genre-question
ADV_20,What genre is the film District 9?,Set in Johannesburg and centered on segregated alien refugees District 9 combines social commentary documentary-style storytelling and intense action within a science fiction framework.,science fiction,genre-question
ADV_21,What genre is the show Dexter?,Although the series contains psychological themes violent crimes and family drama Dexter is fundamentally a crime drama focused on a forensic analyst secretly living as a serial killer.,crime drama,genre-question
ADV_22,What genre is the film The Hangover?,Filled with missing memories bizarre discoveries and reckless partying The Hangover became famous as a comedy centered on a disastrous bachelor party trip to Las Vegas.,comedy,genre-question
ADV_23,What genre is the album Born This Way?,Blending electronic beats dance rhythms and messages about identity Lady Gaga's Born This Way is fundamentally a pop album with additional rock influences.,pop,genre-question
ADV_24,What is Michael Moore's occupation?,Known for criticizing corporate power and government policy through politically charged films Michael Moore works primarily as a filmmaker and activist in the United States.,filmmaker,role-question
ADV_25,What is Quincy Jones's occupation?,Having collaborated with artists ranging from Frank Sinatra to Michael Jackson Quincy Jones became internationally recognized as a producer and composer who shaped modern American music.,producer,role-question
ADV_26,What is Enya's occupation?,Known for layering vocals into atmospheric orchestral soundscapes and producing internationally successful albums Enya works professionally as a singer and musician from Ireland.,singer,role-question
ADV_27,What is Karl Malden's occupation?,After winning an Academy Award and starring in The Streets of San Francisco Karl Malden spent decades working as an actor in film television and theater productions.,actor,role-question
ADV_28,What is Bear Grylls's occupation?,Best known for demonstrating dangerous survival techniques in remote environments Bear Grylls works as an adventurer and television host featured on Discovery Channel programs.,adventurer,role-question
ADV_29,What is Roger Ebert's occupation?,Famous for awarding films a thumbs up or thumbs down on television Roger Ebert built his reputation as a film critic and Pulitzer Prize winner.,film critic,role-question
ADV_30,What is Vera Lynn's occupation?,During World War II Vera Lynn became internationally recognized as a singer whose performances for troops symbolized hope and national pride.,singer,role-question
ADV_31,What is Kickstarter?,Kickstarter is a crowdfunding platform that helps creators raise money online for films games technology products and artistic projects.,crowdfunding platform,control
ADV_32,What is the name of Michael Jackson's biggest selling album?,For the past three weeks in a row Michael Jackson's Number Ones has been the biggest selling album showing that his music continues to captivate fans worldwide.,Number Ones,control
ADV_33,What genre is the album The Great Escape Artist?,The band Jane's Addiction returned with The Great Escape Artist a record praised by critics for its roots in alternative rock.,alternative rock,control